,,,,,,,,atoms in the molecule,,,,,,,,,,,hydroxyl,aldehyde,ketone,carboxylic acid,ester,ether,nitro,nitrate,peroxyacyl nitrate ,peracid,peroxide,,ABSOLV predicted solute descriptors,,,,,,predicted partitioning coefficients,,,,,,,,
ID,MCM_ID,SMILES,structure,MF,MW,PRECURSOR,oxidation genration,C,H,N,O,Cl,S,Br,Number of Atoms,O:C,average carbon oxidation state,AROMATIC,ROH,RCHO,RCOR',RCOOH,RCOOR',ROR',NO2,NO3,PAN,RCOOOH,ROOH& ROOR',Number of functional groups,Pi2 (S),LogL16 (L),McGowan Volume (V),BetaH2 (B),AlphaH2 (A),R2 (E),ppLFER_logKWIOM/G,ppLFER_logKW/G,SPARC_logKWIOM/G,SPARC_logKW/G,COSMOtherm_logKWIOM/G,COSMOtherm_logKW/G,COSMOtherm vapor pressure (kPa),COSMOtherm activity coefficients in WIOM,COSMOtherm activity coefficient in water
72,MMALANHY,CC1=CC(=O)OC1=O,,C5H4O3,112.08,UNKNOWN,N/A,5,4,0,3,0,0,0,12,0.6,0.4,0,0,0,0,0,2,0,0,0,0,0,0,2,1.04,3.39,0.75,0.6,0,0.5,3.7,4.48,7.96,8.7,6.01,4.32,1.03E-02,1.09,6.24E+02
73,C312COCO3H,C(C(=O)C=O)C(=O)OO,,C4H4O5,132.07,UNKNOWN,N/A,4,4,0,5,0,0,0,13,1.25,1.5,0,0,1,1,0,0,0,0,0,0,1,0,3,1.89,4.74,0.84,1.23,0.31,0.71,7,11.05,6.87,8.89,5.96,5.28,2.65E-02,0.45,2.64E+01
74,C7EDCOOH,CCC(=O)C(C(C(=O)C)OO)O,,C7H12O5,176.17,PETHTOL,2,7,12,0,5,0,0,0,24,0.71,-0.29,0,1,0,2,0,0,0,0,0,0,0,1,4,1.57,5.92,1.3,1.57,0.4,0.85,8.1,11.95,8.71,10.04,7.57,7.01,1.43E-04,2.06,9.09E+01
75,C827OOH,CC(=O)CCC(=O)C(C)(C)OO,,C8H14O4,174.19,BCARY,3,8,14,0,4,0,0,0,26,0.5,-0.75,0,0,0,2,0,0,0,0,0,0,0,1,3,1.54,6.01,1.38,1.18,0.31,0.65,7.8,9.37,7.65,7.56,7.93,6.56,1.27E-04,1.02,2.93E+02
76,NDNPBZLOOH,CCCC12C(C(C=C(C1(O)OO)N(=O)=O)(N(=O)=O)OO2)ON(=O)=O,,C9H11N3O12,353.2,PBENZ,3,9,11,3,12,0,0,0,35,1.33,-0.22,0,1,0,0,0,0,0,2,1,0,0,2,6,2.8,10.66,1.99,2.06,0.54,1.7,13.9,18.09,14.36,12.21,11.57,5.93,2.59E-06,0.01,6.06E+04
77,CO23C5,CCC(=O)C(=O)C,,C5H8O2,100.12,UNKNOWN,N/A,5,8,0,2,0,0,0,15,0.4,-0.8,0,0,0,2,0,0,0,0,0,0,0,0,2,1.17,3.65,0.84,0.65,0,0.43,4.2,4.88,3.85,4.32,3.88,2.53,1.87E+00,0.77,2.08E+02
78,CO23C6,CCCC(=O)C(=O)C,,C6H10O2,114.14,UNKNOWN,N/A,6,10,0,2,0,0,0,18,0.33,-1,0,0,0,2,0,0,0,0,0,0,0,0,2,1.18,4.14,0.99,0.65,0,0.42,4.6,4.8,4.17,4.16,4.13,2.24,1.00E+00,0.81,7.68E+02
79,IPROPOLPER,CC(C(=O)OO)O,,C3H6O4,106.08,UNKNOWN,N/A,3,6,0,4,0,0,0,13,1.33,0.67,0,1,0,0,0,0,0,0,0,0,1,0,2,0.88,2.8,0.72,0.94,0.48,0.4,4.7,7.53,5.58,5.55,5.28,5.07,5.99E-02,0.95,1.88E+01
80,NDNPETLOOH,CCC12C(C(C(=C(C1(O)OO)N(=O)=O)C)(N(=O)=O)OO2)ON(=O)=O,,C9H11N3O12,353.2,PETHTOL,3,9,11,3,12,0,0,0,35,1.33,-0.22,0,1,0,0,0,0,0,2,1,0,0,2,6,2.74,10.53,1.99,2.07,0.54,1.68,13.7,17.96,14.23,12.21,11.07,5.62,5.48E-06,0.02,5.90E+04
81,C3NO3COOOH,C(C(=O)COO)ON(=O)=O,,C3H5NO6,151.07,UNKNOWN,N/A,3,5,1,6,0,0,0,15,2,0.67,0,0,0,1,0,0,0,0,1,0,0,1,3,1.67,4.86,0.9,0.96,0.31,0.64,6.7,9.14,8.54,7.98,7.39,5.69,2.47E-03,0.18,1.11E+02
82,CH3CHOHCHO,CC(C=O)O,,C3H6O2,74.08,UNKNOWN,N/A,3,6,0,2,0,0,0,11,0.67,-0.67,0,1,1,0,0,0,0,0,0,0,0,0,2,0.76,2.18,0.61,0.62,0.17,0.37,3,4.44,4.32,5.41,3.69,3.87,1.64E+00,1.4,1.09E+01
83,MACRNB,CC(C=O)(CON(=O)=O)O,,C4H7NO5,149.1,C5H8,3,4,7,1,5,0,0,0,17,1.25,-0.5,0,1,1,0,0,0,0,0,1,0,0,0,3,1.23,4.25,0.98,0.86,0.09,0.57,5.1,6.4,7.3,7.5,5.51,3.42,4.33E-02,0.77,1.17E+03
84,COHM2CO3H,CC(C=O)(C(=O)OO)O,,C4H6O5,134.09,C5H8,3,4,6,0,5,0,0,0,15,1.25,1,0,1,1,0,0,0,0,0,0,0,1,0,3,1.28,3.6,0.88,1.24,0.41,0.57,5.8,9.6,6.63,7.04,5.89,4.83,2.55E-02,0.56,7.74E+01
85,OTNCATECH,CCc1c(C)cc(c(c1O)O)N(=O)=O,,C9H11NO4,197.19,OETHTOL,3,9,11,1,4,0,0,0,25,0.44,-0.89,1,2,0,0,0,0,0,1,0,0,0,0,3,1.3,6.95,1.43,0.5,0.58,1.15,8.6,6.79,12.13,9.04,7.61,3.73,5.16E-04,0.52,4.86E+04
86,MTBKNO3,CC(=O)C(C)(C)CON(=O)=O,,C6H11NO4,161.16,UNKNOWN,N/A,6,11,1,4,0,0,0,22,0.67,-1.33,0,0,0,1,0,0,0,0,1,0,0,0,2,1.18,4.8,1.2,0.51,0,0.38,5.2,3.86,6.16,4.8,5.77,3.11,2.02E-02,0.91,5.09E+03
87,NISOPNO3,CC(=CCON(=O)=O)CON(=O)=O,,C5H8N2O6,192.13,C5H8,1,5,8,2,6,0,0,0,21,1.2,-1.2,0,0,0,0,0,0,0,0,2,0,0,0,2,1.36,5.49,1.24,0.38,0,0.51,5.8,3.81,8.05,4.85,6.03,1.48,1.66E-02,0.62,2.63E+05
88,HNC524CO,C(C(C(C=O)(CO)O)ON(=O)=O)O,,C5H9NO7,195.13,C5H8,3,5,9,1,7,0,0,0,22,1.4,0,0,3,1,0,0,0,0,0,1,0,0,0,5,1.75,6.24,1.24,1.44,0.63,0.98,9.1,12.84,10.66,13.55,8.82,8.15,8.56E-06,1.95,1.11E+02
89,C139NO3,C=C(CCO)C1(CC(C)(C)C1CCC(=O)O)OON(=O)=O,,C13H21NO7,303.31,BCARY,1,13,21,1,7,0,0,0,42,0.54,-0.92,0,1,0,0,1,0,0,0,1,0,0,1,4,1.6,9.52,2.21,1.15,0.88,0.88,12.4,11.2,14.31,11.65,11.4,8.19,1.23E-08,3.55,7.00E+04
90,H3M3C5CHO,CCC(C)(CCC=O)O,,C7H14O2,130.18,M3HEX,1,7,14,0,2,0,0,0,23,0.29,-1.43,0,1,1,0,0,0,0,0,0,0,0,0,2,0.95,4.57,1.17,0.64,0.31,0.42,5.7,5.24,5.92,6.44,5.68,5.13,1.51E-02,1.52,6.53E+01
91,C5ONO34OOH,CC(=O)C(C(C)OO)ON(=O)=O,,C5H9NO6,179.13,UNKNOWN,N/A,5,9,1,6,0,0,0,21,1.2,-0.4,0,0,0,1,0,0,0,0,1,0,0,1,3,1.64,5.62,1.18,1.02,0.31,0.66,7.4,9.06,8.07,8.56,6.91,4.84,2.76E-03,0.48,6.96E+02
92,IPROACET,CC(C)OC(=O)C,,C5H10O2,102.13,DIIPRETHER,1,5,10,0,2,0,0,0,17,0.4,-1.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0.57,2.73,0.89,0.39,0,0.07,2.8,1.8,3.33,1.97,4,2.6,1.49E+00,0.73,2.22E+02
93,METLOBPROH,CCC12C(=O)C=CC(C)(C1O)OO2,,C9H12O4,184.19,METHTOL,1,9,12,0,4,0,0,0,25,0.44,-0.44,0,1,0,1,0,0,0,0,0,0,0,1,3,1.31,6.44,1.31,1.31,0.19,1.1,7.3,9.55,6.8,5.63,9.57,8.77,2.24E-06,1.32,1.02E+02
94,DMMBOH,COC(O)OC,,C3H8O3,92.09,DMM,1,3,8,0,3,0,0,0,14,1,-0.67,0,1,0,0,0,0,2,0,0,0,0,0,3,0.74,2.72,0.71,0.76,0.31,0.29,3.9,5.68,3.72,5.04,4.76,5.34,7.73E-02,2.43,7.95E+00
95,NPHENOOH,C1=CC(C2C(C1OO2)ON(=O)=O)(O)OO,,C6H7NO8,221.12,UNKNOWN,N/A,6,7,1,8,0,0,0,22,1.33,0.67,0,1,0,0,0,0,0,0,1,0,0,2,4,1.87,7.22,1.22,1.59,0.54,1.34,9.6,14.05,10.09,10.14,9.69,8.01,1.40E-05,0.16,9.47E+01
96,C57NO3,CC(C=O)(C(CO)O)ON(=O)=O,,C5H9NO6,179.13,C5H8,2,5,9,1,6,0,0,0,21,1.2,-0.4,0,2,1,0,0,0,0,0,1,0,0,0,4,1.73,5.99,1.18,1.12,0.5,0.83,8.4,10.67,9.15,10.49,7.49,6.21,3.83E-04,0.92,2.15E+02
97,C1313NO3,CC1(C)CC(C1CC=O)C(CCC=O)(CO)ON(=O)=O,,C13H21NO6,287.31,BCARY,2,13,21,1,6,0,0,0,41,0.46,-1.08,0,1,2,0,0,0,0,0,1,0,0,0,4,2.02,9.9,2.15,1.24,0.23,1.08,11.2,10.34,12.16,11.14,10.47,7.73,3.29E-07,1.14,7.54E+03
98,HEXBOH,CCCCC(C)O,,C6H14O,102.17,NC6H14,1,6,14,0,1,0,0,0,21,0.17,-2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.45,3.46,1.01,0.35,0.31,0.21,4.1,2.6,4.26,3.04,4.45,3.13,1.02E-01,3.81,9.67E+02
99,ETOHOCHO,C(COC=O)O,,C3H6O3,90.08,UNKNOWN,N/A,3,6,0,3,0,0,0,12,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0.84,2.93,0.66,0.72,0.23,0.33,3.9,5.58,4.7,5.9,4.82,5.72,4.78E-02,3.57,5.28E+00
100,C51CO2H,CC(CC(=O)O)C(=O)C,,C6H10O3,130.14,M3PE,3,6,10,0,3,0,0,0,19,0.5,-0.67,0,0,0,1,1,0,0,0,0,0,0,0,2,1.11,4.42,1.04,0.7,0.57,0.39,6.5,7.1,7.21,8.59,7.35,7.66,1.97E-04,2.48,1.50E+01
101,C117NO3,CC1(C)CC(C1CC=O)(C(=O)CCO)ON(=O)=O,,C11H17NO6,259.26,BCARY,3,11,17,1,6,0,0,0,35,0.55,-0.91,0,1,1,1,0,0,0,0,1,0,0,0,4,2.03,8.79,1.87,1.13,0.31,1.01,10.5,10.25,11.39,10.39,9.54,6.83,2.95E-06,1.07,6.67E+03
102,BCALBCO,C=C(CCC=O)C1CC(C)(C)C1CCC(=O)C=O,,C15H22O3,250.33,BCARY,1,15,22,0,3,0,0,0,40,0.2,-1.07,0,0,2,1,0,0,0,0,0,0,0,0,3,1.81,9.1,2.12,1.08,0,0.98,9.7,7.91,8.9,6.84,9.62,5.93,2.78E-06,0.95,5.66E+04
103,IPBZMUCOH,CC(C)C(=O)C(C(C1C(C=O)O1)O)O,,C9H14O5,202.2,IPBENZ,2,9,14,0,5,0,0,0,28,0.56,-0.44,0,2,1,1,0,0,1,0,0,0,0,0,5,1.7,6.88,1.48,1.57,0.36,1.08,8.9,12.1,9.92,12.19,9.1,7.72,4.98E-06,1.76,5.18E+02
104,C9M2CO6OH,CCC(=O)C=C(C)C(C(=O)CC)O,,C10H16O3,184.23,DIET35TOL,2,10,16,0,3,0,0,0,29,0.3,-1,0,1,0,2,0,0,0,0,0,0,0,0,3,1.27,6.07,1.56,1.04,0.17,0.69,7.1,7.15,8.27,7.76,7.77,6.06,1.81E-04,1.03,6.51E+02
105,H3M3C5NO3,CCC(C)(CCON(=O)=O)O,,C6H13NO4,163.17,M3HEX,2,6,13,1,4,0,0,0,24,0.67,-1.67,0,1,0,0,0,0,0,0,1,0,0,0,2,0.97,4.93,1.25,0.48,0.31,0.37,5.9,4.45,6.9,5.78,6.09,3.43,6.59E-03,1.35,7.53E+03
106,C152OOH,CC1(C)CC(C1CCC(=O)OC)C(CCC=O)(CO)OO,,C15H26O6,302.36,BCARY,2,15,26,0,6,0,0,0,47,0.4,-0.93,0,1,1,0,0,1,0,0,0,0,0,1,4,1.74,10.18,2.38,1.65,0.54,0.96,12.3,12.67,12.71,11.73,12.37,11.09,1.59E-09,2.95,6.79E+02
107,CO235C6CHO,CC(=O)C(=O)CC(=O)CC=O,,C7H8O4,156.14,UNKNOWN,N/A,7,8,0,4,0,0,0,19,0.57,0,0,0,1,3,0,0,0,0,0,0,0,0,4,2.22,6.18,1.16,1.24,0,0.87,7.7,10.47,6.93,8.8,7.21,6,3.16E-04,2.15,4.20E+02
108,C3PAN2,C(C=O)C(=O)OON(=O)=O,,C3H3NO6,149.06,UNKNOWN,N/A,3,3,1,6,0,0,0,13,2,1.33,0,0,1,0,0,0,0,0,0,1,0,0,2,1.69,4.4,0.85,0.78,0,0.49,5.4,6.93,6.83,6.98,4.99,2.15,4.03E-01,0.28,2.32E+03
109,C3PAN1,C(CO)C(=O)OON(=O)=O,,C3H5NO6,151.07,UNKNOWN,N/A,3,5,1,6,0,0,0,15,2,0.67,0,1,0,0,0,0,0,0,0,1,0,0,2,1.41,4.4,0.9,0.77,0.31,0.46,6,7.41,8.03,7.89,5.12,3.2,1.46E-01,0.57,5.77E+02
110,HO13C3CO3H,C(CO)C(C(=O)OO)O,,C4H8O5,136.1,UNKNOWN,N/A,4,8,0,5,0,0,0,17,1.25,0.5,0,2,0,0,0,0,0,0,0,0,1,0,3,1.16,4.13,0.92,1.22,0.8,0.6,7.2,10.93,8.84,9.37,7.51,7.93,7.14E-05,4.68,2.20E+01
111,C82OOH,CCC(=O)CC(C(CC)O)OO,,C8H16O4,176.21,UNKNOWN,N/A,8,16,0,4,0,0,0,28,0.5,-1,0,1,0,1,0,0,0,0,0,0,0,1,3,1.3,6.35,1.43,1.27,0.54,0.71,8.4,10.31,8.31,9.21,7.73,6.63,1.26E-04,1.6,2.51E+02
112,M3HEXAOH,CCC(C)CC(C)O,,C7H16O,116.2,M3HEX,1,7,16,0,1,0,0,0,24,0.14,-2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.44,3.84,1.15,0.38,0.31,0.22,4.4,2.57,4.59,3.09,4.72,3.05,5.60E-02,3.73,2.13E+03
113,C716OOH,CC(=O)C(CC(=O)CC=O)OO,,C7H10O5,174.15,APINENE,2,7,10,0,5,0,0,0,22,0.71,0,0,0,1,2,0,0,0,0,0,0,0,1,4,2.14,6.58,1.26,1.46,0.31,0.91,8.9,12.59,8.39,10.3,8.59,7.78,1.03E-05,2.72,2.17E+02
114,C83COOHOOH,CCCC(=O)C(C(C(=O)C=O)O)OO,,C8H12O6,204.18,PBENZ,3,8,12,0,6,0,0,0,26,0.75,0,0,1,1,2,0,0,0,0,0,0,0,1,5,2.12,7.26,1.46,1.86,0.4,1.08,9.9,14.81,9.61,11.69,9.07,7.2,1.28E-05,0.72,6.58E+02
115,CH3NO3,CON(=O)=O,,CH3NO3,77.04,UNKNOWN,N/A,1,3,1,3,0,0,0,8,3,-2,0,0,0,0,0,0,0,0,1,0,0,0,1,0.74,1.96,0.48,0.16,0,0.2,2,1.57,3.45,2.48,2.28,0.39,8.99E+01,0.65,6.04E+02
116,EPXMC4DIAL,CC1(C=O)C(C=O)O1,,C5H6O3,114.1,UNKNOWN,N/A,5,6,0,3,0,0,0,14,0.6,0,0,0,2,0,0,0,1,0,0,0,0,0,3,1.44,4.13,0.79,0.87,0,0.71,4.9,6.92,5.44,6.46,5.28,4.25,3.95E-02,1.45,1.89E+02
117,MTBEBOH,CC(C)(CO)OC,,C5H12O2,104.15,MTBE,1,5,12,0,2,0,0,0,19,0.4,-1.6,0,1,0,0,0,0,1,0,0,0,0,0,2,0.49,3.21,0.93,0.66,0.23,0.26,3.8,4.06,4.12,4.56,4.32,3.93,3.78E-01,1.38,4.16E+01
118,HMVKANO3,CC(=O)C(CON(=O)=O)O,,C4H7NO5,149.1,UNKNOWN,N/A,4,7,1,5,0,0,0,17,1.25,-0.5,0,1,0,1,0,0,0,0,1,0,0,0,3,1.22,4.33,0.98,0.87,0.09,0.58,5.1,6.47,7.54,7.53,5.92,4.15,1.28E-02,1.03,7.45E+02
119,CO2OH3MPAN,CC(=O)C(C)(C(=O)OON(=O)=O)O,,C5H7NO7,193.11,TM123B,3,5,7,1,7,0,0,0,20,1.4,0.4,0,1,0,1,0,0,0,0,0,1,0,0,3,1.52,4.81,1.19,1.11,0.1,0.54,6.2,8.03,8.26,8.57,5.81,2.2,4.83E-02,0.35,1.74E+04
120,C151OH,CC(=O)CCC1C(CC1(C)C)C(CCC(=O)O)(CO)O,,C15H26O5,286.36,BCARY,2,15,26,0,5,0,0,0,46,0.33,-1.07,0,2,0,1,1,0,0,0,0,0,0,0,4,1.62,9.99,2.32,1.36,1.11,0.96,13.6,13.18,13.04,13.76,13.79,12.95,2.70E-11,6.66,5.63E+02
121,C629OOH,CC(=O)C(CCO)(C=O)OO,,C6H10O5,162.14,LIMONENE,2,6,10,0,5,0,0,0,21,0.83,0,0,1,1,1,0,0,0,0,0,0,0,1,4,1.86,6,1.16,1.43,0.63,0.87,9,13.07,8.57,10.68,8.19,7.77,4.42E-05,1.6,5.10E+01
122,H2M2C4CO2H,CC(C)(CCC(=O)O)O,,C6H12O3,132.16,M2PE,2,6,12,0,3,0,0,0,21,0.5,-1,0,1,0,0,1,0,0,0,0,0,0,0,2,0.84,4.34,1.09,0.68,0.88,0.35,7,7.51,6.84,7.85,7.71,8.89,1.96E-05,10.88,8.77E+00
123,ACPRONEOH,CC(=O)C(O)OC(=O)C,,C5H8O4,132.11,NPROACET,2,5,8,0,4,0,0,0,17,0.8,0,0,1,0,1,0,1,0,0,0,0,0,0,3,1.11,3.65,0.96,0.97,0.17,0.41,4.9,6.77,6.43,7.5,6.12,5.26,6.53E-03,1.28,1.14E+02
124,DMC,COC(=O)OC,,C3H6O3,90.08,DMM,1,3,6,0,3,0,0,0,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0.64,2.08,0.66,0.51,0,0.05,2.3,2.78,3.49,2.7,3.42,2.71,5.50E+00,0.77,4.78E+01
125,C920CO3H,CC1(C)C(CC1C(=O)CO)CC(=O)OO,,C10H16O5,216.23,APINENE,1,10,16,0,5,0,0,0,31,0.5,-0.6,0,1,0,1,0,0,0,0,0,0,1,0,3,1.41,6.8,1.62,1.3,0.48,0.81,8.8,10.2,9.88,9.34,9.41,7.42,2.92E-06,1.45,1.76E+03
126,LIMCOH,CC1=CCC(CC1)C(C)(CO)O,,C10H18O2,170.25,LIMONENE,1,10,18,0,2,0,0,0,30,0.2,-1.4,0,2,0,0,0,0,0,0,0,0,0,0,2,0.79,6.02,1.48,0.73,0.54,0.73,7.4,6.22,7.74,7.01,8.01,6.46,2.59E-05,4.13,1.81E+03
127,IPRBQONE,CC(C)C1=CC(=O)C=CC1=O,,C9H10O2,150.17,IPBENZ,2,9,10,0,2,0,0,0,21,0.22,-0.67,0,0,0,2,0,0,0,0,0,0,0,0,2,0.37,4.73,1.21,0.81,0,0.88,4.2,3.78,8.2,6.76,6.44,4.32,4.76E-03,0.84,1.36E+03
128,MO2EOLB2OH,C(COCO)O,,C3H8O3,92.09,MO2EOL,1,3,8,0,3,0,0,0,14,1,-0.67,0,2,0,0,0,0,1,0,0,0,0,0,3,0.82,3.4,0.71,0.89,0.54,0.48,5.2,7.74,5.31,7.69,6.03,8.06,6.16E-04,16.54,1.92E+00
129,C7M3CO,CC(=CC(=O)C)C(=O)C(=O)C,,C8H10O3,154.16,TM135B,2,8,10,0,3,0,0,0,21,0.38,-0.5,0,0,0,3,0,0,0,0,0,0,0,0,3,1.72,5.69,1.24,1.04,0,0.77,6.7,8.01,8.01,8.29,6.56,4.74,3.20E-03,0.94,7.57E+02
130,DMM,COCOC,,C3H8O2,76.09,DMM,0,3,8,0,2,0,0,0,13,0.67,-1.33,0,0,0,0,0,0,2,0,0,0,0,0,2,0.49,1.99,0.65,0.46,0,0.08,2,2.23,2.57,2.94,2.53,2.19,5.05E+01,0.64,1.69E+01
131,DMS,CSC,,C2H6S,62.13,DMS,0,2,6,0,0,0,1,0,9,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,1.98,0.55,0.16,0,0.35,1.6,0.61,2.42,1.6,2.54,1.07,4.19E+01,0.76,2.67E+02
132,C6PAN20,CC(C)C(CC(=O)OON(=O)=O)O,,C6H11NO6,193.15,M2HEX,2,6,11,1,6,0,0,0,24,1,-0.67,0,1,0,0,0,0,0,0,0,1,0,0,2,1.4,5.65,1.32,0.83,0.31,0.47,7.2,7.27,8.14,7.56,5.79,2.06,2.90E-02,0.61,3.99E+04
133,PXYFUOOH,CC1(C(COC1=O)O)OO,,C5H8O5,148.11,UNKNOWN,N/A,5,8,0,5,0,0,0,18,1,0.4,0,1,0,0,0,1,0,0,0,0,0,1,3,1.93,5.59,0.96,1.43,0.5,0.85,8.3,13.03,8.89,11.07,9.12,9.62,4.61E-06,1.78,7.00E+00
134,C735OOH,CC(=O)C(CC=O)(CC=O)OO,,C7H10O5,174.15,LIMONENE,2,7,10,0,5,0,0,0,22,0.71,0,0,0,2,1,0,0,0,0,0,0,0,1,4,2.15,6.49,1.26,1.45,0.31,0.9,8.9,12.51,8.08,10.28,7.88,7.52,5.35E-05,2.71,7.50E+01
135,C8M2CO6OH,CCC(=O)C=C(C)C(C(=O)C)O,,C9H14O3,170.21,DIME35EB,2,9,14,0,3,0,0,0,26,0.33,-0.89,0,1,0,2,0,0,0,0,0,0,0,0,3,1.27,5.57,1.42,1.04,0.17,0.69,6.7,7.26,8.09,8.06,7.56,6.31,2.74E-04,1.1,2.37E+02
136,PETCATECH,CCc1ccc(C)c(c1O)O,,C9H12O2,152.19,PETHTOL,2,9,12,0,2,0,0,0,23,0.22,-0.89,1,2,0,0,0,0,0,0,0,0,0,0,2,0.97,5.96,1.26,0.54,0.77,0.98,8,7.02,9.24,6.78,7.88,5.01,6.30E-04,0.23,2.06E+03
137,CO25C6CO2H,CC(=O)CCC(=O)CC(=O)O,,C7H10O4,158.15,LIMONENE,3,7,10,0,4,0,0,0,21,0.57,-0.29,0,0,0,2,1,0,0,0,0,0,0,0,3,1.62,5.74,1.2,0.98,0.57,0.59,8.2,9.81,9.5,10.72,9.36,9.61,1.71E-06,2.81,1.94E+01
138,PETLMUCO2H,CCC(=O)C=CC1(C)C(C(=O)O)O1,,C9H12O4,184.19,PETHTOL,2,9,12,0,4,0,0,0,25,0.44,-0.44,0,0,0,1,1,0,1,0,0,0,0,0,3,1.39,6.23,1.37,1,0.57,0.78,8.4,9.28,9.09,8.54,10.31,9.79,2.39E-07,2.23,9.08E+01
139,C88PAN,CC1(C)C(=O)CCC(=O)C1C(=O)OON(=O)=O,,C9H11NO7,245.19,BPINENE,3,9,11,1,7,0,0,0,28,0.78,-0.22,0,0,0,2,0,0,0,0,0,1,0,0,3,2.16,7.78,1.61,1.16,0,0.87,8.9,9.62,10.8,10.51,8.48,4.93,6.03E-05,0.61,2.58E+04
140,ACEC2CHO,CC(=O)OCCC=O,,C5H8O3,116.12,NPROACET,1,5,8,0,3,0,0,0,16,0.6,-0.4,0,0,1,0,0,1,0,0,0,0,0,0,2,1.13,3.69,0.9,0.65,0,0.3,4.2,4.68,5.57,5.61,5.56,5.25,2.96E-02,1.01,2.55E+01
141,C822PAN,C=C(C)C(CCC(=O)OON(=O)=O)CC=O,,C9H13NO6,231.2,LIMONENE,1,9,13,1,6,0,0,0,29,0.67,-0.67,0,0,1,0,0,0,0,0,0,1,0,0,2,1.7,7.06,1.66,0.89,0,0.59,7.8,6.83,8.58,6.42,7.37,2.91,6.37E-04,0.73,2.60E+05
142,C89NO3,CC1(C)C(CC=O)CC1ON(=O)=O,,C8H13NO4,187.19,UNKNOWN,N/A,8,13,1,4,0,0,0,26,0.5,-1.25,0,0,1,0,0,0,0,0,1,0,0,0,2,1.31,5.98,1.38,0.53,0,0.63,6.2,4.38,6.89,4.82,6.8,3.69,1.77E-03,0.97,1.54E+04
143,C720OH,CC1=CCC(CC1O)O,,C7H12O2,128.17,UNKNOWN,N/A,7,12,0,2,0,0,0,21,0.29,-1.14,0,2,0,0,0,0,0,0,0,0,0,0,2,0.84,4.82,1.06,0.71,0.63,0.77,6.6,7.03,7.79,8.32,7.61,8.26,2.58E-05,10.38,2.82E+01
144,C121OOH,CCCCCCCC(CC(=O)CC)OO,,C12H24O3,216.32,NC12H26,2,12,24,0,3,0,0,0,39,0.25,-1.5,0,0,0,1,0,0,0,0,0,0,0,1,2,1.12,7.5,1.93,0.88,0.31,0.45,8.5,6.37,8.43,5.83,9.31,5.75,3.11E-06,1.74,7.70E+04
145,BCALBOOH,C=C(CCC=O)C1CC(C)(C)C1CCC(=O)COO,,C15H24O4,268.35,BCARY,1,15,24,0,4,0,0,0,43,0.27,-1.07,0,0,1,1,0,0,0,0,0,0,0,1,3,1.69,9.47,2.22,1.28,0.31,0.99,10.9,9.83,11.05,7.93,11.86,8.63,1.30E-08,1.16,2.44E+04
146,C5MDICARB,CC(=CC(=O)C)C=O,,C6H8O2,112.13,UNKNOWN,N/A,6,8,0,2,0,0,0,16,0.33,-0.67,0,0,1,1,0,0,0,0,0,0,0,0,2,1.27,4.13,0.94,0.71,0,0.58,4.7,5.39,6.39,6.38,5.07,4.13,1.15E-01,0.82,8.56E+01
147,MCATECHOL,Cc1cccc(c1O)O,,C7H8O2,124.14,TOLUENE,2,7,8,0,2,0,0,0,17,0.29,-0.57,1,2,0,0,0,0,0,0,0,0,0,0,2,1.02,4.99,0.97,0.53,0.77,0.95,7.2,7.29,8.63,6.95,7.77,6.25,1.28E-03,0.14,5.94E+01
148,C1011CO3H,CC(=O)CCC1C(CC1(C)C)C(=O)OO,,C11H18O4,214.26,BCARY,2,11,18,0,4,0,0,0,33,0.36,-0.91,0,0,0,1,0,0,0,0,0,0,1,0,2,1.36,7.09,1.7,1.03,0.31,0.68,8.4,8,8.46,6.77,8.34,5.59,4.41E-05,1.12,7.79E+03
149,C617PAN,CC(C)(C=O)C(=O)CC(=O)OON(=O)=O,,C7H9NO7,219.15,BPINENE,3,7,9,1,7,0,0,0,24,1,0,0,0,1,1,0,0,0,0,0,1,0,0,3,2.13,6.75,1.43,1.13,0,0.68,8.1,9.32,8.51,8.36,7.25,3.18,1.26E-03,0.49,6.99E+04
150,PENT1ENE,C=CCCC,,C5H10,70.13,UNKNOWN,N/A,5,10,0,0,0,0,0,15,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,2.18,0.77,0.09,0,0.12,1.8,-0.38,1.64,-1.25,1.95,-0.74,7.56E+01,1.61,9.62E+03
151,LIMALACO,C=C(C)C(CC=O)CC(=O)C(=O)C,,C10H14O3,182.22,LIMONENE,1,10,14,0,3,0,0,0,27,0.3,-0.8,0,0,1,2,0,0,0,0,0,0,0,0,3,1.73,6.65,1.52,1.04,0,0.76,7.5,7.8,6.74,6.84,7.3,4.89,5.58E-04,0.97,3.11E+03
