,SMILES,#C,#H,#N,#O,#S,Molar mass (g/mol),Measured C0 (μg/m3),Estimated C0 (μg/m3),Measured Tm (K),Estimated Tm (K),Estimated Tg (K)
445,OS(=O)(=O)C1=C2C=CC=CC2=CC=C1,10,8,0,3,1,"208,2374",,"0,253255409",,,
446,OC1=CC2=C(C=C1)C=CC(=C2)S(O)(=O)=O,10,8,0,4,1,"224,2368",,"0,037407625","398,15","446,11","278,705"
447,OC1=CC2=C(C=C1)C=C(C=C2)S(O)(=O)=O,10,8,0,4,1,"224,2368",,"0,037407625",,,
448,OC1=CC=CC2=CC=CC(=C12)S(O)(=O)=O,10,8,0,4,1,"224,2368",,"0,010896479",,"446,11","312,277"
449,OC1=C2C=CC=CC2=C(C=C1)S(O)(=O)=O,10,8,0,4,1,"224,2368",,"0,011777368","443,15","446,11","310,205"
450,OC1=CC=CC2=C(C=CC=C12)S(O)(=O)=O,10,8,0,4,1,"224,2368",,"0,010896479",,,
451,OC1=CC2=C(C=CC=C2C=C1)S(O)(=O)=O,10,8,0,4,1,"224,2368",,"0,010896479",,,
452,OC1=CC=C2C=CC=CC2=C1S(O)(=O)=O,10,8,0,4,1,"224,2368",,"0,010896479",,,
453,OC1=C(C=CC2=C1C=CC=C2)S(O)(=O)=O,10,8,0,4,1,"224,2368",,"0,010896479",,,
454,OC1=C2C=CC=CC2=CC(=C1)S(O)(=O)=O,10,8,0,4,1,"224,2368",,"0,010896479",,,
455,OS(=O)(=O)OC1=C2C=CC=CC2=CC=C1,10,8,0,4,1,"224,2368",,"0,093398393",,"423,16","296,212"
456,OS(=O)(=O)OC1=CC2=C(C=CC=C2)C=C1,10,8,0,4,1,"224,2368",,"0,093398393",,,
457,OC1=CC2=C(C=C1O)C=C(C=C2)S(O)(=O)=O,10,8,0,5,1,"240,2362",,"0,000597272",,"467,65","327,355"
458,OS(=O)(=O)C1=CC=CC2=C(C=CC=C12)S(O)(=O)=O,10,8,0,6,2,"288,3016",,"1,41803E-05","515,65","497,79","360,955"
459,OS(=O)(=O)C1=CC2=C(C=C1)C=CC(=C2)S(O)(=O)=O,10,8,0,6,2,"288,3016",,"2,06343E-06","472,15","497,79","330,505"
460,OS(=O)(=O)C1=CC=CC2=C(C=CC=C12)S(O)(=O)=O,10,8,0,6,2,"288,3016",,"1,41803E-05",,,
461,OS(=O)(=O)C1=CC2=C(C=C1)C=CC(=C2)S(O)(=O)=O,10,8,0,6,2,"288,3016",,"2,06343E-06",,,
462,OS(=O)(=O)C1=CC2=C(C=C1)C=C(C=C2)S(O)(=O)=O,10,8,0,6,2,"288,3016",,"2,06343E-06",,,
463,OS(=O)(=O)C1=CC2=C(C=C1)C=C(C=C2)S(O)(=O)=O,10,8,0,6,2,"288,3016",,"2,06343E-06",,,
464,OC1=CC2=C(C=C(C=C2C=C1)S(O)(=O)=O)S(O)(=O)=O,10,8,0,7,2,"304,301",,"5,17466E-08",,"514,06","359,842"
465,OC1=CC2=C(C=C(C=C2)S(O)(=O)=O)C=C1S(O)(=O)=O,10,8,0,7,2,"304,301",,"5,17466E-08",,,
466,OC1=C2C=CC(=CC2=CC(=C1)S(O)(=O)=O)S(O)(=O)=O,10,8,0,7,2,"304,301",,"5,17466E-08",,,
467,OC1=CC(=CC2=CC=CC(=C12)S(O)(=O)=O)S(O)(=O)=O,10,8,0,7,2,"304,301",,"5,17466E-08",,,
468,OC1=C2C(=C(C=C1)S(O)(=O)=O)C=CC=C2S(O)(=O)=O,10,8,0,7,2,"304,301",,"5,17466E-08",,,
469,OC1=C2C=CC(=CC2=CC(=C1)S(O)(=O)=O)S(O)(=O)=O,10,8,0,7,2,"304,301",,"5,17466E-08",,,
470,OC1=C2C(=CC(=CC2=CC(=C1)S(O)(=O)=O)S(O)(=O)=O)O,10,8,0,8,2,"320,3004",,"2,53377E-09",,"530,33","371,231"
471,OC1=C2C(=CC(=CC2=CC(=C1)S(O)(=O)=O)S(O)(=O)=O)O,10,8,0,8,2,"320,3004",,"2,53377E-09",,,
