P__Num,Volume,Overall_surface,Fast_dis,Radius,Lengh_X,Lengh_Y,Lengh_Z,Mulliken,Hardness,Ele_ind,Softness,Nuc_ind, Dipole X, Dipole Y, Dipole Z, Dipole Tot,HOMO(a.u.),HOMO(eV),LUMO(a.u.),LUMO(eV),gap(a.u.),gap(eV)
P_1229,1989.68185,1071.66248,12.009,7.204,14.361,9.466,7.155,0.125299,0.348426,0.02253,2.870053,0.095507,2.1057,1.182,-0.0308,2.415,-0.239691,-6.522337,-0.020555,-0.559326,0.219137,5.963011
P_1230,1791.31725,942.4473,10.059,6.23,12.429,8.32,7.549,0.123677,0.345942,0.022108,2.890662,0.105339,-0.3549,-1.3302,-2.8547,3.1693,-0.22986,-6.254802,-0.014768,-0.401857,0.215092,5.852945
P_1231,1836.96809,936.87094,8.981,6.015,11.985,8.441,7.285,0.127927,0.338183,0.024196,2.956975,0.102447,0.702,0.1855,-0.5971,0.94,-0.232751,-6.333478,-0.021192,-0.576674,0.211559,5.756804
P_1232,1658.67665,902.21314,8.608,5.799,11.513,9.98,7.889,0.118279,0.308483,0.022675,3.241667,0.126353,-0.9571,-0.2724,-0.5641,1.1439,-0.208843,-5.682917,-0.028537,-0.776528,0.180306,4.906389
P_1233,1750.68639,946.33572,10.478,6.714,13.396,9.098,6.777,0.114616,0.300125,0.021885,3.331946,0.133891,5.8601,2.072,2.0552,6.5466,-0.201307,-5.477845,-0.030616,-0.833108,0.170691,4.644737
P_1234,1763.00854,947.15792,10.482,6.441,12.261,9.34,6.831,0.101963,0.295554,0.017588,3.383477,0.149706,-2.8696,-2.5694,1.7683,4.2384,-0.18549,-5.047449,-0.023824,-0.648274,0.161667,4.399175
P_1235,2054.03966,1068.40826,9.696,6.048,11.755,9.98,8.992,0.103867,0.295274,0.018268,3.386686,0.144412,-1.9519,-1.7153,1.1803,2.854,-0.190785,-5.191511,-0.022719,-0.618209,0.168066,4.573302
P_1236,1955.96039,1017.27404,8.89,5.645,10.935,10.551,9.205,0.116525,0.286496,0.023697,3.490451,0.1324,-1.1583,-1.1321,0.557,1.7128,-0.202796,-5.518364,-0.029002,-0.789193,0.173794,4.72917
P_1237,1880.70231,1020.97573,9.646,6.023,12.043,10.324,8.396,0.115479,0.308862,0.021588,3.237691,0.130328,-1.7277,1.9545,1.0931,2.8284,-0.204871,-5.574837,-0.026641,-0.724931,0.178231,4.849906
P_1238,2305.16901,1212.47952,13.631,8.015,15.995,9.809,7.892,0.122165,0.272195,0.027415,3.673843,0.141233,-0.705,1.7459,-1.5349,2.4292,-0.193964,-5.27802,-0.044758,-1.217915,0.149206,4.060105
P_1239,2167.35401,1136.16422,13.499,7.949,15.789,8.737,7.799,0.108726,0.292685,0.020195,3.416648,0.143485,2.0332,2.4297,-2.3396,3.9384,-0.191711,-5.216731,-0.029418,-0.800496,0.162294,4.416235
